EXIOBASE,NACE Rev. 2 Class,NACE Section,NACE Rev 2. Code,ISIC Rev 4. Class,ISIC Rev 4. Group,ISIC Rev. 4. Division,ISIC Rev. 4 Section ,ISIC Rev. 4 Unique Code,ISIC Rev. 5 Class,ISIC Rev. 5 Group,ISIC Rev. 5 Division,ISIC Rev. 5. Section,ISIC Rev. 5 Unique Code
Manufacture of rubber and plastic products (25),Manufacture of other plastic products,C,22.29,Manufacture of plastics products,Manufacture of plastics products,Manufacture of rubber and plastics products,Manufacturing,C_22_222_2220,Manufacture of plastics products,Manufacture of plastics products,Manufacture of rubber and plastic products,Manufacturing,C_22_222_2220
Manufacture of machinery and equipment n.e.c. (29),Manufacture of power-driven hand tools,C,28.24,Manufacture of power-driven hand tools,Manufacture of general-purpose machinery,Manufacture of machinery and equipment n.e.c.,Manufacturing,C_28_281_2818,Manufacture of power-driven hand tools,Manufacture of general-purpose machinery,Manufacture of machinery and equipment n.e.c.,Manufacturing,C_28_281_2818
Processing of Food products nec,Manufacture of prepared feeds for farm animals,C,10.91,Manufacture of prepared animal feeds,Manufacture of prepared animal feeds,Manufacture of food products,Manufacturing,C_10_108_1080,Manufacture of prepared animal feeds,Manufacture of prepared animal feeds,Manufacture of food products,Manufacturing,C_10_108_1080
Processing of Food products nec,Manufacture of prepared pet foods,C,10.92,Manufacture of prepared animal feeds,Manufacture of prepared animal feeds,Manufacture of food products,Manufacturing,C_10_108_1080,Manufacture of prepared animal feeds,Manufacture of prepared animal feeds,Manufacture of food products,Manufacturing,C_10_108_1080
Processing of Food products nec,Manufacture of prepared meals and dishes,C,10.85,Manufacture of prepared meals and dishes,Manufacture of other food products,Manufacture of food products,Manufacturing,C_10_107_1075,Manufacture of prepared meals and dishes,Manufacture of other food products,Manufacture of food products,Manufacturing,C_10_107_1075
Pulp,Manufacture of pulp,C,17.11,"Manufacture of pulp, paper and paperboard",Manufacture of paper and paper products,Manufacture of paper and paper products,Manufacturing,C_17_170_1701,"Manufacture of pulp, paper and paperboard",Manufacture of paper and paper products,Manufacture of paper and paper products,Manufacturing,C_17_170_1701
Re-processing of secondary paper into new pulp,Manufacture of pulp,C,17.11,"Manufacture of pulp, paper and paperboard",Manufacture of paper and paper products,Manufacture of paper and paper products,Manufacturing,C_17_170_1701,"Manufacture of pulp, paper and paperboard",Manufacture of paper and paper products,Manufacture of paper and paper products,Manufacturing,C_17_170_1701
Pulp,Manufacture of paper and paperboard,C,17.12,"Manufacture of pulp, paper and paperboard",Manufacture of paper and paper products,Manufacture of paper and paper products,Manufacturing,C_17_170_1701,"Manufacture of pulp, paper and paperboard",Manufacture of paper and paper products,Manufacture of paper and paper products,Manufacturing,C_17_170_1701
Re-processing of secondary paper into new pulp,Manufacture of paper and paperboard,C,17.12,"Manufacture of pulp, paper and paperboard",Manufacture of paper and paper products,Manufacture of paper and paper products,Manufacturing,C_17_170_1701,"Manufacture of pulp, paper and paperboard",Manufacture of paper and paper products,Manufacture of paper and paper products,Manufacturing,C_17_170_1701
Manufacture of other transport equipment (35),Manufacture of railway locomotives and rolling stock,C,30.2,Manufacture of railway locomotives and rolling stock,Manufacture of railway locomotives and rolling stock,Manufacture of other transport equipment,Manufacturing,C_30_302_3020,Manufacture of railway locomotives and rolling stock,Manufacture of railway locomotives and rolling stock,Manufacture of other transport equipment,Manufacturing,C_30_302_3020
Petroleum Refinery,Manufacture of refined petroleum products,C,19.2,Manufacture of refined petroleum products,Manufacture of refined petroleum products,Manufacture of coke and refined petroleum products,Manufacturing,C_19_192_1920,Manufacture of refined petroleum products; manufacture of fossil fuel products,Manufacture of refined petroleum products; manufacture of fossil fuel products,Manufacture of coke and refined petroleum products,Manufacturing,C_19_192_1920
Manufacture of ceramic goods,Manufacture of refractory products,C,23.2,Manufacture of refractory products,Manufacture of non-metallic mineral products n.e.c.,Manufacture of other non-metallic mineral products,Manufacturing,C_23_239_2391,Manufacture of refractory products,Manufacture of non-metallic mineral products n.e.c.,Manufacture of other non-metallic mineral products,Manufacturing,C_23_239_2391
Manufacture of rubber and plastic products (25),Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres,C,22.11,Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres,Manufacture of rubber products,Manufacture of rubber and plastics products,Manufacturing,C_22_221_2211,Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres,Manufacture of rubber products,Manufacture of rubber and plastic products,Manufacturing,C_22_221_2211
Chemicals nec,Manufacture of perfumes and toilet preparations,C,20.42,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",Manufacture of other chemical products,Manufacture of chemicals and chemical products,Manufacturing,C_20_202_2023,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",Manufacture of other chemical products,Manufacture of chemicals and chemical products,Manufacturing,C_20_202_2023
Chemicals nec,"Manufacture of soap and detergents, cleaning and polishing preparations",C,20.41,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",Manufacture of other chemical products,Manufacture of chemicals and chemical products,Manufacturing,C_20_202_2023,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",Manufacture of other chemical products,Manufacture of chemicals and chemical products,Manufacturing,C_20_202_2023
Manufacture of beverages,Manufacture of soft drinks; production of mineral waters and other bottled waters,C,11.07,Manufacture of soft drinks; production of mineral waters and other bottled waters,Manufacture of beverages,Manufacture of beverages,Manufacturing,C_11_110_1104,Manufacture of soft drinks; production of mineral waters and other bottled waters,Manufacture of beverages,Manufacture of beverages,Manufacturing,C_11_110_1105
Manufacture of electrical machinery and apparatus n.e.c. (31),Manufacture of electronic components,C,26.11,Manufacture of electronic components and boards,Manufacture of electronic components and boards,"Manufacture of computer, electronic and optical products",Manufacturing,C_26_261_2610,"Manufacture of solar cells, solar panels and photovoltaic inverters",Manufacture of electronic components and boards,"Manufacture of computer, electronic and optical products",Manufacturing,C_26_261_2611
"Manufacture of radio, television and communication equipment and apparatus (32)",Manufacture of electronic components,C,26.11,Manufacture of electronic components and boards,Manufacture of electronic components and boards,"Manufacture of computer, electronic and optical products",Manufacturing,C_26_261_2610,"Manufacture of solar cells, solar panels and photovoltaic inverters",Manufacture of electronic components and boards,"Manufacture of computer, electronic and optical products",Manufacturing,C_26_261_2611
"Manufacture of radio, television and communication equipment and apparatus (32)",Manufacture of loaded electronic boards,C,26.12,Manufacture of electronic components and boards,Manufacture of electronic components and boards,"Manufacture of computer, electronic and optical products",Manufacturing,C_26_261_2610,"Manufacture of solar cells, solar panels and photovoltaic inverters",Manufacture of electronic components and boards,"Manufacture of computer, electronic and optical products",Manufacturing,C_26_261_2611
Manufacture of furniture; manufacturing n.e.c. (36),Manufacture of sports goods,C,32.3,Manufacture of sports goods,Manufacture of sports goods,Other manufacturing,Manufacturing,C_32_323_3230,Manufacture of sports goods,Manufacture of sports goods,Other manufacturing,Manufacturing,C_32_323_3230
Processed rice,Manufacture of starches and starch products,C,10.62,Manufacture of starches and starch products,"Manufacture of grain mill products, starches and starch products",Manufacture of food products,Manufacturing,C_10_106_1062,Manufacture of starches and starch products,"Manufacture of grain mill products, starches and starch products",Manufacture of food products,Manufacturing,C_10_106_1062
Processing of Food products nec,Manufacture of starches and starch products,C,10.62,Manufacture of starches and starch products,"Manufacture of grain mill products, starches and starch products",Manufacture of food products,Manufacturing,C_10_106_1062,Manufacture of starches and starch products,"Manufacture of grain mill products, starches and starch products",Manufacture of food products,Manufacturing,C_10_106_1062
"Manufacture of fabricated metal products, except machinery and equipment (28)","Manufacture of steam generators, except central heating hot water boilers",C,25.3,"Manufacture of steam generators, except central heating hot water boilers","Manufacture of structural metal products, tanks, reservoirs and steam generators","Manufacture of fabricated metal products, except machinery and equipment",Manufacturing,C_25_251_2513,"Manufacture of steam generators, except central heating hot water boilers","Manufacture of structural metal products, tanks, reservoirs and steam generators","Manufacture of fabricated metal products, except machinery and equipment",Manufacturing,C_25_251_2513
"Manufacture of fabricated metal products, except machinery and equipment (28)",Manufacture of metal structures and parts of structures,C,25.11,Manufacture of structural metal products,"Manufacture of structural metal products, tanks, reservoirs and steam generators","Manufacture of fabricated metal products, except machinery and equipment",Manufacturing,C_25_251_2511,Manufacture of structural metal products,"Manufacture of structural metal products, tanks, reservoirs and steam generators","Manufacture of fabricated metal products, except machinery and equipment",Manufacturing,C_25_251_2511
